============================= DIAGNOSTIC REPORT =============================
frame_id | success
14373 | True
14374 | True
14375 | True
14376 | True
14377 | True
14378 | True
14379 | True
14380 | True
14381 | True
14382 | True
14383 | True
14384 | True
14385 | True
14386 | True
14387 | True
14388 | True
14389 | True
14390 | True
14391 | True
14392 | True
14393 | True
14394 | True
14395 | True
14396 | True
14397 | True
14398 | True
14399 | True
14400 | True
14401 | True
14402 | True
14403 | True
14404 | True
14405 | True
14406 | True
14407 | True
14408 | True
14409 | True
14410 | True
14411 | True
14412 | True
14413 | True
14414 | True
14415 | True
14416 | True
14417 | True
14418 | True
14419 | True
14420 | True
14421 | True
14422 | True
14423 | True
14424 | True
14425 | True
14426 | True
14427 | True
14428 | True
14429 | True
14430 | True
14431 | True
14432 | True
14433 | True
14434 | True
14435 | True
14436 | True
14437 | True
14438 | True
14439 | True
14440 | True
14441 | True
14442 | True
14443 | True
14444 | True
14445 | True
14446 | True
14447 | True
14448 | True
14449 | True
14450 | True
14451 | True
14452 | True
14453 | True
14454 | True
14455 | True
14456 | True
14457 | True
14458 | True
14459 | True
14460 | True
14461 | True
14462 | True
14463 | True
14464 | True
14465 | True
14466 | True
14467 | True
14468 | True
14469 | True
14470 | True
14471 | True
14472 | True
14473 | True
14474 | True
14475 | True
14476 | True
14477 | True
14478 | True
14479 | True
14480 | True
14481 | True
14482 | True
14483 | True
14484 | True
14485 | True
14486 | True
14487 | True
14488 | True
14489 | True
14490 | True
14491 | True
14492 | True
14493 | True
14494 | True
14495 | True
14496 | True
14497 | True
14498 | True
14499 | True
14500 | True
14501 | True
14502 | True
14503 | True
14504 | True
14505 | True
14506 | True
14507 | True
14508 | True
14509 | True
14510 | True
14511 | True
14512 | True
14513 | True
14514 | True
14515 | True
14516 | True
14517 | True
14518 | True
14519 | True
14520 | True
14521 | True
14522 | True
14523 | True
14524 | True
14525 | True
14526 | True
14527 | True
14528 | True
14529 | True
14530 | True
14531 | True
14532 | True
14533 | True
14534 | True
14535 | True
14536 | True
14537 | True
